gkb_id	wikidata_ids
G103076	Q103076
G10308	Q10308
G10400	Q10400
G105766481	Q105766481
G106418	Q106418
G1079023	Q1079023
G1092499	Q1092499|Q1144170|Q11775750|Q1415080|Q1440395|Q56294815
G11151	Q11151
G11152	Q11152
G111753	Q111753
G1128631	Q1128631
G1130849	Q1130849
G1132131	Q1132131
G11424	Q11424
G1180344	Q1180344
G11938	Q11938
G11945	Q11945
G1194951	Q1194951
G1212768	Q1212768
G12166442	Q12166442
G124308	Q124308
G125191	Q125191
G1312	Q1312
G132377	Q132377
G13306	Q13306
G133556	Q133556
G13394	Q13394
G13406554	Q13406554
G134241	Q134241
G1354960	Q1354960
G1362064	Q1362064
G1368	Q1368
G1386854	Q1386854
G142	Q142|Q1542963|Q3591845
G1439	Q1439
G145	Q145
G1492760	Q1492760
G150238	Q150238
G1505201	Q1505201
G15521306	Q15521306
G15915040	Q15915040
G159848	Q159848
G160894	Q160894
G161089	Q161089
G16235376	Q16235376
G163564	Q163564
G163995	Q163995
G164038	Q164038
G167541	Q167541
G16851072	Q16851072
G16902219	Q16902219
G170584	Q170584
G17500	Q17500
G17507	Q17507
G1765879	Q1765879
G1778362	Q1778362
G17955	Q17955
G1801365	Q1801365
G1811518	Q1811518
G182015	Q182015
G182899	Q182899
G185163	Q185163
G185572	Q185572
G18627408	Q18627408
G18656	Q18656
G18683792	Q18683792
G18711	Q18711
G18721	Q18721
G18732	Q18732
G18736	Q18736
G18741	Q18741
G18756	Q18756
G189671	Q189671
G18978014	Q18978014
G1912	Q1912
G191264	Q191264
G193078	Q12421818|Q193078
G19317	Q19317
G193181	Q193181
G193706	Q193706
G19442	Q19442
G19509	Q19509
G19571	Q19571
G19809	Q19809
G1989439	Q1989439
G200009	Q200009
G200355	Q200355
G202833	Q202833
G206021	Q206021
G20641306	Q20641306
G20807705	Q20807705
G21	Q21
G213958	Q213958
G214801	Q214801
G21621168	Q21621168
G2210473	Q2210473
G22277803	Q22277803
G223041	Q223041
G22669	Q22669
G23466	Q23466
G2403895	Q2403895
G24050378	Q24050378
G2454065	Q2454065
G2526255	Q2526255
G260858	Q260858
G26385193	Q26385193
G2643777	Q2643777
G2736	Q2736
G27569376	Q27569376
G2761147	Q2761147
G279532	Q279532
G28406836	Q28406836
G284183	Q284183
G28967995	Q28967995
G29	Q29
G296391	Q296391
G296979	Q296979
G30	Q30
G30015253	Q30015253
G30045780	Q30045780
G30128591	Q30128591
G30301454	Q30301454
G30461	Q30461
G30729096	Q30729096
G309	Q309
G309966	Q309966
G317803	Q317803
G32098	Q32098
G321082	Q321082
G324867	Q324867
G3318533	Q3318533
G33829	Q33829
G33999	Q33999
G340169	Q340169
G34508	Q34508
G349	Q349
G35572	Q35572
G357984	Q357984
G3626966	Q3626966
G366753	Q366753
G38	Q38
G381136	Q381136
G40348	Q40348
G40357	Q40357
G4069670	Q4069670
G41253	Q41253
G41263	Q41263
G414	Q414
G41420	Q41420
G41583	Q41583
G4290	Q4290
G4358176	Q4358176
G44977	Q44977
G44980	Q44980
G465227	Q465227
G472977	Q472977
G47484996	Q47484996
G476028	Q476028
G476300	Q476300
G481330	Q481330
G4830453	Q4830453
G483417	Q483417
G4834930	Q4834930
G484736	Q484736
G493386	Q493386
G50000	Q50000
G50602	Q50602
G514427	Q514427
G522344	Q522344
G523	Q523
G539920	Q539920
G545861	Q545861
G55	Q29999|Q476033|Q55
G55605752	Q55605752
G55820249	Q55820249
G56332606	Q56332606
G5705	Q5705
G57078908	Q57078908
G58465451	Q58465451
G59306386	Q59306386
G59365764	Q59365764
G59381180	Q59381180
G599003	Q599003
G59938996	Q59938996
G602525	Q602525
G60741366	Q60741366
G6298063	Q6298063
G63067287	Q63067287
G6391158	Q6391158
G641	Q641
G669130	Q669130
G701	Q701
G713895	Q713895
G7156	Q7156
G733609	Q733609
G7430	Q7430
G81888	Q81888
G81938	Q81938
G8338725	Q8338725
G83495	Q83495
G84	Q23306|Q84
G84263196	Q84263196
G846	Q846
G8682	Q8682
G874628	Q874628
G887695	Q887695
G9053464	Q9053464
G93190	Q93190
G9448	Q9448
G946865	Q946865
G9616	Q9616
G9617	Q9617
G966898	Q966898
G972	Q16977290|Q972
G981528	Q981528
G988108	Q988108
