category_id,category_name,n_folds,threshold_mean,threshold_std,threshold_mode,threshold_median,threshold_min,threshold_max,threshold_selected
1000000,"arts+ - arts, culture, entertainment and media (01000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
2000000,"law+ - crime, law and justice (02000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
3000000,"disaster+ - disaster, accident and emergency incident (03000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
4000000,"economy+ - economy, business and finance (04000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
5000000,education (05000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
6000000,environment (06000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
7000000,health (07000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
8000000,human interest (08000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
9000000,labor (09000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
10000000,lifestyle+ - lifestyle and leisure (10000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
11000000,politics and government (11000000),1,0.3,0.0,0.3,0.3,0.3,0.3,0.5
12000000,religion - religion (12000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
13000000,sci-tech - science and technology (13000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
14000000,society (14000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
15000000,sport (15000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
16000000,"conflict+ - conflict, war and peace (16000000)",1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
17000000,weather (17000000),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000002,arts+ > arts and entertainment (20000002),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000004,arts+ >> cartoon (20000004),0,,,,,,,0.5
20000005,arts+ >> movies (20000005),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000006,arts+ >>> film festival (20000006),0,,,,,,,0.5
20000007,arts+ >> dance (20000007),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000008,arts+ >>> ballet (20000008),0,,,,,,,0.5
20000009,arts+ >>> modern dance (20000009),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000011,arts+ >> fashion (20000011),0,,,,,,,0.5
20000013,arts+ >> literature (20000013),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000015,arts+ >>> fiction (20000015),0,,,,,,,0.5
20000018,arts+ >> music (20000018),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000019,arts+ >>> musical instrument (20000019),0,,,,,,,0.5
20000020,arts+ >>> musical performance (20000020),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000021,arts+ >>> musical genre (20000021),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000022,arts+ >>>> classical music (20000022),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000025,arts+ >>>> jazz music (20000025),0,,,,,,,0.5
20000026,arts+ >>>> popular music (20000026),0,,,,,,,0.5
20000027,arts+ >>>> rock and roll music (20000027),0,,,,,,,0.5
20000029,arts+ >> theater (20000029),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000031,arts+ >> visual arts (20000031),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000032,arts+ >>> architecture (20000032),0,,,,,,,0.5
20000035,arts+ >>> painting (20000035),0,,,,,,,0.5
20000036,arts+ >>> photography (20000036),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000038,arts+ > culture (20000038),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000040,arts+ >> customs and tradition (20000040),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000041,arts+ >> festive event (culture) (20000041),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000042,arts+ >> language (20000042),0,,,,,,,0.5
20000043,arts+ >> library and museum (20000043),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000044,arts+ >> monument and heritage site (20000044),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000045,arts+ > mass media (20000045),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000046,arts+ >> news media (20000046),0,,,,,,,0.5
20000047,arts+ >> newspaper (20000047),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000048,arts+ >> online media outlet (20000048),0,,,,,,,0.5
20000050,arts+ >> radio (20000050),0,,,,,,,0.5
20000051,arts+ >> television (20000051),0,,,,,,,0.5
20000053,conflict+ > act of terror (20000053),0,,,,,,,0.5
20000055,conflict+ >> terrorist bombings (20000055),0,,,,,,,0.5
20000056,conflict+ > armed conflict (20000056),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000058,conflict+ >> international military intervention (20000058),0,,,,,,,0.5
20000059,conflict+ >> peacekeeping force (20000059),0,,,,,,,0.5
20000062,conflict+ >> war (20000062),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000063,conflict+ >>> civil war (20000063),0,,,,,,,0.5
20000065,conflict+ > civil unrest (20000065),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000066,conflict+ >> demonstration (20000066),1,0.25,0.0,0.25,0.25,0.25,0.25,0.5
20000068,conflict+ >> revolution (20000068),0,,,,,,,0.5
